code,futu_code,name_zh,exchange_type,cur_price,market_cap_hkd,market_cap_yi,avg_turnover_20d,suspended,name_en,decision,reason
09901,HK.09901,新东方-S,HK_MAINBOARD,46.32,73716310149.36,737.2,4709325382.0,False,NEW ORIENTAL-S,keep,no_match
01157,HK.01157,中联重科,HK_MAINBOARD,8.3,71782842458.8,717.8,2263856207.0,False,ZOOMLION,keep,WL_ZH:中联
02313,HK.02313,申洲国际,HK_MAINBOARD,47.76,71775447216.72,717.8,8257537815.0,False,SHENZHOU INTL,keep,no_match
06806,HK.06806,申万宏源,HK_MAINBOARD,2.86,71614241441.6,716.1,687509469.0,False,SWHY,keep,no_match
03200,HK.03200,大族数控,HK_MAINBOARD,147.1,71127064709.2,711.3,2625189423.0,False,HANS CNC,keep,no_match
00293,HK.00293,国泰航空,HK_MAINBOARD,11.61,70601896521.18,706.0,3363127802.0,False,CATHAY PAC AIR,keep,no_match
00322,HK.00322,康师傅控股,HK_MAINBOARD,12.52,70569184827.2,705.7,4326754589.0,False,TINGYI,keep,no_match
02688,HK.02688,新奥能源,HK_MAINBOARD,61.5,69608114736.0,696.1,5332580082.0,False,ENN ENERGY,keep,no_match
02382,HK.02382,舜宇光学科技,HK_MAINBOARD,64.1,69161643680.0,691.6,15690612254.0,False,SUNNY OPTICAL,keep,WL_EN:OPTIC
00168,HK.00168,青岛啤酒股份,HK_MAINBOARD,50.45,68823643854.45,688.2,3569460943.0,False,TSINGTAO BREW,keep,no_match
00290,HK.00290,国富量子,HK_MAINBOARD,6.58,67799350200.12,678.0,1955617353.0,False,GOFINTECH QUANT,keep,no_match
09995,HK.09995,荣昌生物,HK_MAINBOARD,119.9,67680850211.7,676.8,11460434662.0,False,REMEGEN,keep,WL_ZH:生物
09698,HK.09698,万国数据-SW,HK_MAINBOARD,42.66,67406940025.02,674.1,4420141432.0,False,GDS-SW,keep,no_match
00004,HK.00004,九龙仓集团,HK_MAINBOARD,21.8,66621395728.6,666.2,1181557301.0,False,WHARF HOLDINGS,keep,no_match
00486,HK.00486,俄铝,HK_MAINBOARD,4.35,66089614649.7,660.9,143901565.0,False,RUSAL,keep,no_match
03931,HK.03931,中创新航,HK_MAINBOARD,37.24,66000521191.92,660.0,6148179002.0,False,CALB,keep,WL_ZH:创新
00019,HK.00019,太古股份公司A,HK_MAINBOARD,84.7,65980283600.0,659.8,2498575272.0,False,SWIRE PACIFIC A,keep,no_match
02208,HK.02208,金风科技,HK_MAINBOARD,15.51,65510806814.97,655.1,10881832874.0,False,GOLDWIND,keep,WL_ZH:科技
00135,HK.00135,昆仑能源,HK_MAINBOARD,7.48,64767836775.84,647.7,2687921501.0,False,KUNLUN ENERGY,keep,no_match
00144,HK.00144,招商局港口,HK_MAINBOARD,15.31,64271520637.66,642.7,1325967089.0,False,CHINA MER PORT,keep,no_match
02319,HK.02319,蒙牛乳业,HK_MAINBOARD,16.53,64118258539.89,641.2,7717162036.0,False,MENGNIU DAIRY,keep,no_match
01530,HK.01530,三生制药,HK_MAINBOARD,25.26,64110016707.12,641.1,19083809071.0,False,3SBIO,keep,WL_ZH:制药
00285,HK.00285,比亚迪电子,HK_MAINBOARD,28.3,63765687350.0,637.7,7171061701.0,False,BYD ELECTRONIC,keep,WL_EN:ELECTRON
01099,HK.01099,国药控股,HK_MAINBOARD,20.32,63411733801.12,634.1,2107247788.0,False,SINOPHARM,keep,no_match
02727,HK.02727,上海电气,HK_MAINBOARD,3.97,61694282894.92,616.9,2382381496.0,False,SH ELECTRIC,keep,no_match
01364,HK.01364,古茗,HK_MAINBOARD,25.64,60976685450.4,609.8,4816174386.0,False,GUMING,keep,no_match
06969,HK.06969,思摩尔国际,HK_MAINBOARD,9.82,60836374973.82,608.4,5058185581.0,False,SMOORE INTL,keep,no_match
02788,HK.02788,创新实业,HK_MAINBOARD,29.22,60631500000.0,606.3,4139181920.0,False,CHUANGXIN IND,keep,WL_ZH:创新
00960,HK.00960,龙湖集团,HK_MAINBOARD,8.3,58445538893.6,584.5,3172470598.0,False,LONGFOR GROUP,keep,no_match
06088,HK.06088,FIT HON TENG,HK_MAINBOARD,7.93,57918646875.96,579.2,13432200050.0,False,FIT HON TENG,keep,no_match
00522,HK.00522,ASMPT,HK_MAINBOARD,138.1,57703287352.3,577.0,6121004196.0,False,ASMPT,keep,no_match
09880,HK.09880,优必选,HK_MAINBOARD,113.9,57337416384.7,573.4,14448767190.0,False,UBTECH ROBOTICS,keep,WL_EN:ROBOT
02039,HK.02039,中集集团,HK_MAINBOARD,10.7,57042701359.5,570.4,709779585.0,False,CIMC,keep,no_match
02638,HK.02638,港灯-SS,HK_MAINBOARD,6.41,56640042000.0,566.4,581654763.0,False,HKELECTRIC-SS,keep,no_match
03996,HK.03996,中国能源建设,HK_MAINBOARD,1.28,56627434551.04,566.3,2661829649.0,False,CH ENERGY ENG,keep,no_match
02331,HK.02331,李宁,HK_MAINBOARD,20.98,54229392537.94,542.3,10119915872.0,False,LI NING,keep,no_match
02196,HK.02196,复星医药,HK_MAINBOARD,20.16,53614720152.0,536.1,1258898761.0,False,FOSUN PHARMA,keep,WL_EN:PHARMA
02076,HK.02076,BOSS直聘-W,HK_MAINBOARD,55.05,53230072763.4,532.3,139933981.0,False,BOSS ZHIPIN-W,keep,no_match
02577,HK.02577,英诺赛科,HK_MAINBOARD,58.0,53075837874.0,530.8,5883305446.0,False,INNOSCIENCE,keep,no_match
00151,HK.00151,中国旺旺,HK_MAINBOARD,4.49,52989503396.15,529.9,507963557.0,False,WANT WANT CHINA,keep,no_match
00270,HK.00270,粤海投资,HK_MAINBOARD,8.01,52367949734.4,523.7,2021694446.0,False,GUANGDONG INV,keep,no_match
03858,HK.03858,佳鑫国际资源,HK_MAINBOARD,114.9,52359930000.0,523.6,12941272224.0,False,JIAXIN INTL RES,keep,no_match
00177,HK.00177,江苏宁沪高速公路,HK_MAINBOARD,10.27,51737666825.0,517.4,922226541.0,False,JIANGSU EXPRESS,keep,no_match
00916,HK.00916,龙源电力,HK_MAINBOARD,6.17,51580065731.88,515.8,5293886984.0,False,CHINA LONGYUAN,keep,no_match
03898,HK.03898,时代电气,HK_MAINBOARD,37.8,51330449973.6,513.3,1718291357.0,False,TIMES ELECTRIC,keep,no_match
03668,HK.03668,兖煤澳大利亚,HK_MAINBOARD,37.84,49965428296.08,499.7,3735634062.0,False,YANCOAL AUS,keep,no_match
06198,HK.06198,青岛港,HK_MAINBOARD,7.67,49786737000.0,497.9,557222460.0,False,QINGDAO PORT,keep,no_match
03998,HK.03998,波司登,HK_MAINBOARD,4.17,48724247706.24,487.2,1833044816.0,False,BOSIDENG,keep,no_match
01133,HK.01133,哈尔滨电气,HK_MAINBOARD,21.32,47677404320.0,476.8,4752233929.0,False,HARBIN ELECTRIC,keep,no_match
00008,HK.00008,电讯盈科,HK_MAINBOARD,6.05,46873963233.9,468.7,776882661.0,False,PCCW,keep,no_match
01071,HK.01071,华电国际电力股份,HK_MAINBOARD,4.02,46679332219.68,466.8,1473061035.0,False,HUADIAN POWER,keep,no_match
02726,HK.02726,瀚天天成,HK_MAINBOARD,109.5,46601536695.0,466.0,540053455.0,False,EPIWORLD,keep,no_match
03311,HK.03311,中国建筑国际,HK_MAINBOARD,8.69,45902462844.92,459.0,1638816609.0,False,CHINA STATE CON,keep,no_match
02696,HK.02696,复宏汉霖,HK_MAINBOARD,84.45,45898140335.85,459.0,1948687214.0,False,HENLIUS,keep,no_match
00576,HK.00576,浙江沪杭甬,HK_MAINBOARD,7.58,45768908986.36,457.7,1895686843.0,False,ZHEJIANGEXPRESS,keep,no_match
00991,HK.00991,大唐发电,HK_MAINBOARD,2.47,45711574944.88,457.1,1558485707.0,False,DATANG POWER,keep,no_match
00148,HK.00148,建滔集团,HK_MAINBOARD,41.18,45640277288.48,456.4,4893455482.0,False,KINGBOARD HLDG,keep,no_match
00780,HK.00780,同程旅行,HK_MAINBOARD,18.88,44448720722.56,444.5,2512887242.0,False,TONGCHENGTRAVEL,keep,no_match
02018,HK.02018,瑞声科技,HK_MAINBOARD,38.02,44235794750.0,442.4,3819110294.0,False,AAC TECH,keep,WL_EN:TECH
01729,HK.01729,汇聚科技,HK_MAINBOARD,21.04,44026545140.16,440.3,6132697725.0,False,TIME INTERCON,keep,WL_ZH:科技
02282,HK.02282,美高梅中国,HK_MAINBOARD,11.53,43814000011.53,438.1,1389205417.0,False,MGM CHINA,keep,no_match
02228,HK.02228,晶泰控股,HK_MAINBOARD,10.16,43722257091.76,437.2,10528340674.0,False,XTALPI,keep,no_match
06166,HK.06166,剑桥科技,HK_MAINBOARD,122.8,43305465804.4,433.1,8885168914.0,False,CIG,keep,WL_ZH:科技
02607,HK.02607,上海医药,HK_MAINBOARD,11.64,43165331456.76,431.7,663069087.0,False,SH PHARMA,keep,WL_EN:PHARMA
00868,HK.00868,信义玻璃,HK_MAINBOARD,9.75,43135061307.0,431.4,2679525899.0,False,XINYI GLASS,keep,no_match
01359,HK.01359,中国信达,HK_MAINBOARD,1.13,43125924716.11,431.3,1638037796.0,False,CHINA CINDA,keep,WL_ZH:信达
02883,HK.02883,中海油田服务,HK_MAINBOARD,8.92,42562600640.0,425.6,2502282504.0,False,CHINA OILFIELD,keep,no_match
00425,HK.00425,敏实集团,HK_MAINBOARD,36.12,42325831343.88,423.3,4409743789.0,False,MINTH GROUP,keep,no_match
03896,HK.03896,金山云,HK_MAINBOARD,9.28,42054962953.28,420.5,19952026390.0,False,KINGSOFT CLOUD,keep,WL_EN:CLOUD
02579,HK.02579,中伟新材,HK_MAINBOARD,39.34,41002266773.72,410.0,1178182919.0,False,CNGR,keep,no_match
03323,HK.03323,中国建材,HK_MAINBOARD,5.39,40926385119.62,409.3,4695449465.0,False,CNBM,keep,no_match
07618,HK.07618,京东工业,HK_MAINBOARD,15.0,40725755505.0,407.3,607673016.0,False,JD INDUSTRIALS,keep,WL_EN:INDUSTRI
03320,HK.03320,华润医药,HK_MAINBOARD,6.38,40082416741.18,400.8,3812447036.0,False,CHINARES PHARMA,keep,WL_EN:PHARMA
02380,HK.02380,中国电力,HK_MAINBOARD,3.23,39955587675.09,399.6,1626078580.0,False,CHINA POWER,keep,no_match
01585,HK.01585,雅迪控股,HK_MAINBOARD,12.78,39779632417.32,397.8,3838723205.0,False,YADEA,keep,no_match
01828,HK.01828,富卫集团,HK_MAINBOARD,31.0,39668284356.0,396.7,191164745.0,False,FWD,keep,no_match
00392,HK.00392,北京控股,HK_MAINBOARD,31.36,39450982484.48,394.5,777071970.0,False,BEIJING ENT,keep,no_match
00666,HK.00666,瑞浦兰钧,HK_MAINBOARD,16.75,39142640337.5,391.4,2082490398.0,False,REPT BATTERO,keep,no_match
03759,HK.03759,康龙化成,HK_MAINBOARD,21.22,38833031360.16,388.3,2416343802.0,False,PHARMARON,keep,no_match
03969,HK.03969,中国通号,HK_MAINBOARD,3.63,38441042970.0,384.4,381340059.0,False,CHINA CRSC,keep,no_match
00631,HK.00631,三一国际,HK_MAINBOARD,11.54,37963256158.06,379.6,2858509676.0,False,SANY INT'L,keep,WL_ZH:三一
02026,HK.02026,小马智行-W,HK_MAINBOARD,86.25,37314491370.0,373.1,1082647596.0,False,PONY-W,keep,no_match
00087,HK.00087,太古股份公司B,HK_MAINBOARD,13.08,37264037100.0,372.6,396082704.0,False,SWIRE PACIFIC B,keep,no_match
03347,HK.03347,泰格医药,HK_MAINBOARD,43.08,37093002234.0,370.9,1598791749.0,False,TIGERMED,keep,WL_ZH:医药
01735,HK.01735,中环新能源,HK_MAINBOARD,8.76,37002240000.0,370.0,1406760472.0,False,CENTRAL NEW EGY,keep,WL_ZH:新能源
00659,HK.00659,周大福创建,HK_MAINBOARD,8.1,36985762811.7,369.9,257929836.0,False,CTF SERVICES,keep,no_match
00598,HK.00598,中国外运,HK_MAINBOARD,5.12,36729606282.24,367.3,548829077.0,False,SINOTRANS,keep,no_match
02202,HK.02202,万科企业,HK_MAINBOARD,3.07,36627278075.97,366.3,1312902872.0,False,CHINA VANKE,keep,no_match
09896,HK.09896,名创优品,HK_MAINBOARD,30.18,36579879565.86,365.8,1731560735.0,False,MNSO,keep,no_match
03360,HK.03360,远东宏信,HK_MAINBOARD,7.46,35833063287.4,358.3,935279148.0,False,FE HORIZON,keep,no_match
01318,HK.01318,毛戈平,HK_MAINBOARD,73.05,35808153045.0,358.1,2662154748.0,False,MAO GEPING,keep,no_match
02096,HK.02096,先声药业,HK_MAINBOARD,13.79,35794670152.22,357.9,2322032091.0,False,SIMCERE PHARMA,keep,WL_EN:PHARMA
06655,HK.06655,华新建材,HK_MAINBOARD,17.19,35737935206.31,357.4,1168717784.0,False,HX BLDG MAT,keep,no_match
06821,HK.06821,凯莱英,HK_MAINBOARD,98.45,35528140796.5,355.3,1517864168.0,False,ASYMCHEM,keep,no_match
02252,HK.02252,微创机器人-B,HK_MAINBOARD,34.14,35209617500.34,352.1,4217652472.0,False,MEDBOT-B,keep,no_match
01070,HK.01070,TCL电子,HK_MAINBOARD,13.85,34914951896.75,349.1,3606436632.0,False,TCL ELECTRONICS,keep,WL_EN:ELECTRON
03696,HK.03696,英矽智能,HK_MAINBOARD,60.8,34802041600.0,348.0,4142980648.0,False,INSILICO,keep,WL_ZH:智能
01882,HK.01882,海天国际,HK_MAINBOARD,21.62,34505520000.0,345.1,1069183404.0,False,HAITIAN INT'L,keep,no_match
00656,HK.00656,复星国际,HK_MAINBOARD,4.17,34111566580.98,341.1,1482832320.0,False,FOSUN INTL,keep,no_match
01385,HK.01385,上海复旦,HK_MAINBOARD,41.34,34052305755.0,340.5,3991316464.0,False,SHANGHAI FUDAN,keep,no_match
00867,HK.00867,康哲药业,HK_MAINBOARD,13.93,33982632172.16,339.8,1362594007.0,False,CMS,keep,no_match
03888,HK.03888,金山软件,HK_MAINBOARD,24.4,33716274044.0,337.2,6131727022.0,False,KINGSOFT,keep,WL_ZH:软件
00220,HK.00220,统一企业中国,HK_MAINBOARD,7.7,33258871800.0,332.6,1115633519.0,False,U-PRESID CHINA,keep,no_match
00257,HK.00257,光大环境,HK_MAINBOARD,5.39,33110636823.88,331.1,1480206434.0,False,EB ENVIRONMENT,keep,no_match
03393,HK.03393,威胜控股,HK_MAINBOARD,33.12,32983534836.0,329.8,3084536353.0,False,WASION HOLDINGS,keep,no_match
01618,HK.01618,中国中冶,HK_MAINBOARD,1.59,32950554480.3,329.5,661590908.0,False,MCC,keep,no_match
00564,HK.00564,中创智领,HK_MAINBOARD,18.42,32887066710.6,328.9,589372150.0,False,ZCZL,keep,no_match
00683,HK.00683,嘉里建设,HK_MAINBOARD,22.42,32538274421.76,325.4,714999375.0,False,KERRY PPT,keep,no_match
00268,HK.00268,金蝶国际,HK_MAINBOARD,9.16,32513133942.36,325.1,8002813293.0,False,KINGDEE INT'L,keep,no_match
02238,HK.02238,广汽集团,HK_MAINBOARD,3.18,32426669562.0,324.3,895152475.0,False,GAC GROUP,keep,no_match
