code,name_en,name_zh,close_price,turnover_hkd,suspended
01715,AI HEALTH TECH,智慧健康科技,0.57,2483700.0,False
01716,MOST KWAI CHUNG,毛記葵涌,3.57,9945980.0,False
01717,AUSNUTRIA,澳優,1.91,592530.0,False
01718,WAN KEI GROUP,宏基集團控股,0.385,112650.0,False
01719,CIL GROUP,中國通商集團,0.3,,False
01720,PUTIAN COMM,普天通信集團,0.6,4674000.0,False
01721,FSM HOLDINGS,,0.14,,False
01722,KIN PANG HLDGS,建鵬控股,0.075,105730.0,False
01723,MOON INC,恆月控股,0.96,269760.0,False
01725,C STRATEGIC TEC,中國技術集團,0.61,1921924.0,False
01726,HKE HOLDINGS,,1.21,598850.0,False
01727,HEBEI CONS,河北建設,0.345,71695.0,False
01728,ZHENGTONGAUTO,正通汽車,,,True
01729,TIME INTERCON,匯聚科技,15.99,158318337.0,False
01731,PROSPEROUS IND,其利工業集團,0.82,384160.0,False
01732,XIANGXING INT,象興國際,0.239,124540.0,False
01733,E-COMMODITIES,易大宗,0.83,454895.0,False
01735,CENTRAL NEW EGY,中環新能源,8.05,50185590.0,False
01736,PARENTING NET,中國育兒網絡,0.44,,False
01738,FS ANTHRACITE,飛尚無煙煤,0.103,117832.0,False
01739,QEEKA HOME,齊屹科技,0.221,,False
01740,VALUES CULTURAL,新石文化,0.096,2865.0,False
01741,SHING CHI HLDGS,成志控股,0.198,,False
01742,HPC HOLDINGS,,0.19,113305.0,False
01745,LVJI TECH,驢跡科技,0.118,293606.0,False
01746,MAN SHUN GP,萬順集團控股,0.51,318900.0,False
01747,HOME CONTROL,,4.67,4836120.0,False
01748,XIN YUAN ENT,信源企業集團,,,True
01749,SHANSHAN,杉杉品牌,0.58,34260.0,False
01750,REM GROUP HLDGS,全達電器集團控股,0.107,73110.0,False
01751,AI ENERGY ENG,智算能建,1.51,2014200.0,False
01752,TOP EDUCATION,澳洲成峰高教,0.088,32160.0,False
01753,DUIBA,兌吧,0.153,5122.0,False
01755,S-ENJOY SERVICE,新城悅服務,,,True
01757,GLOBAL CHI-1K,環球華商（一千）,18.6,27037990.0,False
01758,BOJUN EDU,博駿教育,0.125,500.0,False
01759,SINO GAS HLDGS,中油潔能控股,1.01,,False
01762,WANKA ONLINE,萬咖壹聯,1.7,11529160.0,False
01763,CIRC,中國同輻,20.14,14429292.0,False
01765,XJ INTL HLDGS,希教國際控股,0.169,137408.0,False
01766,CRRC,中國中車,5.04,552316093.0,False
01767,TS WONDERS,,0.345,20700.0,False
01768,BUSYMING,鳴鳴很忙,372.0,90950807.0,False
01769,SCHOLAR EDU,思考樂教育,1.62,352190.0,False
01771,SUNFONDA GP,新豐泰集團,0.17,,False
01772,GANFENGLITHIUM,贛鋒鋰業,74.55,1467073597.0,False
01773,TIANLI INT HLDG,天立國際控股,2.25,9724540.0,False
01775,BEXCELLENT GP,精英匯集團,0.5,233200.0,False
01776,GF SEC,廣發証券,14.82,48515749.0,False
01777,FANTASIA,花樣年控股,0.083,124.0,False
01778,COLOUR LIFE,彩生活,0.212,350422.0,False
01780,RONGZUN INT'L H,榮尊國際控股,0.76,67015800.0,False
01782,IB DIGITAL TECH,國際商業數字技術,3.9,,False
01783,ENVISION GREEN,晉景新能,3.06,23510790.0,False
01785,CHENGDU EXPWAY,成都高速,2.0,524790.0,False
01786,CRCCE,鐵建裝備,0.89,351085.0,False
01787,SD GOLD,山東黃金,32.76,628966948.0,False
01788,GUOTAI JUNAN I,國泰君安國際,2.34,88614656.0,False
01789,AK MEDICAL,愛康醫療,6.18,27409480.0,False
01790,TIL ENVIRO,達力環保,0.52,,False
01792,CMON,,1.03,43340.0,False
01793,WECON HOLDINGS,偉工控股,0.265,395260.0,False
01795,YADONG GROUP,亞東集團,0.52,357270.0,False
01796,METASPACEX,中國數智科技,2.24,979720.0,False
01797,EAST BUY,東方甄選,27.38,328034840.0,False
01798,DATANG RENEW,大唐新能源,1.65,103510094.0,False
01799,XINTE ENERGY,新特能源,5.45,8575270.0,False
01800,CHINA COMM CONS,中國交通建設,4.73,98066236.0,False
01801,INNOVENT BIO,信達生物,86.1,1500863747.0,False
01802,WENYE GROUP,文業集團,,,True
01808,ENTERPRISE DEV,企展控股,2.7,60725.0,False
01809,PRINX CHENGSHAN,浦林成山,7.8,793620.0,False
01811,CGN NEW ENERGY,中廣核新能源,2.58,44512020.0,False
01812,CHENMING PAPER,晨鳴紙業,1.19,1678450.0,False
01813,KWG GROUP,合景泰富集團,0.152,28883.0,False
01815,EVEREST GOLD,珠峰黃金,1.25,52536628.0,False
01816,CGN POWER,中廣核電力,3.57,323100491.0,False
01817,MULSANNE GROUP,慕尚集團控股,0.28,,False
01818,ZHAOJIN MINING,招金礦業,31.9,739787567.0,False
01820,PM PACKAGING,濟豐包裝,2.52,,False
01822,CHINA WOOD INT,中木國際,0.141,,False
01823,HUAYUEXPRESSWAY,華昱高速,1.68,384480.0,False
01825,STERLING GP-NEW,,1.0,,False
01826,FDB HOLDINGS,豐展控股,0.16,1600.0,False
01827,MIRICOR,卓珈控股,0.94,,False
01828,FWD,富衛集團,30.16,7898786.0,False
